dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression,2016+diarrhea,2016+obesity,2016+diabetes,2016+cancer,2016+depression,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
New Orleans LA,68,50,69,63,55,73,55,75,63,52,70,50,73,60,57
Dallas-Ft. Worth TX,66,38,65,56,53,68,37,71,57,51,61,39,69,55,52
Sioux City IA,68,58,68,62,73,68,51,73,63,60,68,60,76,64,76
Waco-Temple-Bryan TX,71,66,69,56,64,79,81,77,55,63,75,81,79,57,64
Victoria TX,81,0,72,66,51,66,0,87,65,58,76,0,84,63,58
Wichita Falls TX & Lawton OK,82,53,75,60,75,82,48,84,61,66,84,45,71,59,65
Monroe LA-El Dorado AR,67,78,83,69,65,74,54,89,66,58,81,45,89,66,56
Birmingham AL,70,63,76,69,67,77,49,81,71,61,70,49,81,68,61
Ottumwa IA-Kirksville MO,65,94,92,68,97,66,71,96,67,73,87,62,88,70,76
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,81,64,79,69,74,83,54,79,69,68,89,54,85,70,64
Odessa-Midland TX,77,48,67,54,60,79,35,76,54,51,77,32,79,51,53
Amarillo TX,81,45,75,61,65,88,35,83,61,54,84,38,73,58,62
Austin TX,61,44,67,56,53,63,40,73,56,50,63,43,73,57,54
Harlingen-Weslaco-Brownsville-McAllen TX,42,54,73,54,45,58,50,94,56,49,62,56,96,55,55
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,71,70,77,68,69,75,69,84,67,68,77,72,79,68,67
St. Joseph MO,81,57,84,64,67,70,58,69,64,64,72,52,84,67,68
Jackson TN,80,78,85,83,71,79,52,88,77,62,80,53,95,72,58
Memphis TN,67,62,78,67,58,69,57,82,68,55,65,49,84,67,54
San Antonio TX,66,47,76,59,53,69,43,83,58,52,71,44,90,58,57
Lafayette LA,70,48,64,59,62,73,38,67,62,55,72,41,65,61,63
Lake Charles LA,79,46,66,66,64,73,33,74,61,56,76,39,64,60,65
Alexandria LA,91,58,68,62,66,79,54,79,61,58,94,37,70,58,63
Greenwood-Greenville MS,67,86,85,71,74,65,85,100,73,59,68,86,100,67,49
Champaign & Springfield-Decatur IL,64,85,77,67,67,70,75,77,65,64,76,77,78,68,66
Evansville IN,81,64,79,68,75,81,49,83,68,70,83,51,75,66,71
Oklahoma City OK,72,45,68,63,55,79,51,80,63,59,77,49,76,62,61
Lubbock TX,76,57,74,56,66,71,60,79,57,64,75,66,78,59,64
Omaha NE,74,53,73,64,58,72,49,78,65,57,77,51,77,66,58
Panama City FL,71,44,73,63,50,77,31,64,63,56,71,29,65,64,50
Sherman TX-Ada OK,77,63,75,65,64,79,41,81,63,68,85,31,80,60,69
Green Bay-Appleton WI,65,59,60,63,72,70,50,69,61,62,74,51,63,63,64
Nashville TN,76,51,72,70,61,77,49,79,68,55,76,50,81,65,60
San Angelo TX,77,51,80,62,66,75,50,79,59,61,74,53,89,55,54
Abilene-Sweetwater TX,74,65,80,60,78,77,48,80,61,65,77,31,88,56,64
Madison WI,72,48,64,64,59,70,53,72,63,57,73,55,73,63,60
Ft. Smith-Fayetteville-Springdale-Rogers AR,71,53,64,60,69,77,45,75,58,63,78,47,80,59,61
Tulsa OK,44,32,51,43,41,64,37,69,57,50,59,52,80,60,57
Columbus-Tupelo-West Point MS,67,81,76,62,70,72,66,86,69,69,69,56,81,65,64
Peoria-Bloomington IL,73,66,71,67,67,73,55,81,70,67,72,53,81,73,68
Duluth MN-Superior WI,75,61,76,68,78,73,68,82,65,72,69,66,85,65,74
Wichita-Hutchinson KS,72,51,70,65,68,75,43,80,63,60,72,49,79,65,63
Des Moines-Ames IA,75,63,71,61,71,73,60,77,60,62,70,60,77,61,63
Davenport IA-Rock Island-Moline IL,80,67,73,65,69,76,50,78,66,67,79,51,78,64,68
Mobile AL-Pensacola (Ft. Walton Beach) FL,74,46,77,68,60,73,40,73,68,59,72,46,72,65,53
Minot-Bismarck-Dickinson(Williston) ND,80,36,68,62,64,77,34,71,60,61,81,47,76,63,58
Huntsville-Decatur (Florence) AL,74,48,71,70,65,77,38,80,70,62,86,37,77,70,65
Beaumont-Port Arthur TX,68,56,70,65,67,76,26,75,61,52,71,35,75,59,61
Little Rock-Pine Bluff AR,74,61,77,67,74,74,56,81,65,64,74,58,80,67,66
Montgomery (Selma) AL,72,55,83,80,67,75,46,79,72,56,73,52,77,68,59
La Crosse-Eau Claire WI,75,80,73,67,78,76,68,78,60,68,71,82,73,66,71
Wausau-Rhinelander WI,75,68,69,66,69,75,52,76,65,65,76,59,76,64,69
Tyler-Longview(Lufkin & Nacogdoches) TX,74,55,80,61,70,77,51,86,62,64,80,47,81,64,63
Hattiesburg-Laurel MS,80,69,74,63,73,75,47,82,68,64,86,51,84,65,61
Meridian MS,67,72,80,68,63,69,60,78,73,62,75,43,95,68,60
Baton Rouge LA,72,58,70,62,64,69,58,68,57,56,68,57,66,57,60
Quincy IL-Hannibal MO-Keokuk IA,73,83,90,71,87,82,48,75,71,73,91,67,79,68,72
Jackson MS,71,69,79,72,61,74,65,90,74,62,70,72,86,65,62
Lincoln & Hastings-Kearney NE,71,66,70,61,75,73,68,79,63,66,71,60,70,64,64
Fargo-Valley City ND,75,59,78,63,75,76,67,81,63,65,80,57,81,66,69
Sioux Falls(Mitchell) SD,75,68,89,72,75,76,68,89,66,68,75,61,87,72,71
Jonesboro AR,78,60,73,67,100,87,48,82,71,72,78,66,71,68,75
Bowling Green KY,78,41,64,64,56,71,58,74,69,58,97,52,75,67,62
Mankato MN,63,96,64,57,72,78,99,74,59,74,80,67,78,64,79
North Platte NE,64,0,79,71,76,67,0,72,64,69,80,0,56,67,35
Anchorage AK,62,48,72,54,56,65,45,88,53,55,67,50,81,57,59
Honolulu HI,65,55,65,59,56,65,55,79,59,50,63,51,80,59,54
Fairbanks AK,69,56,73,49,77,75,61,66,47,56,80,51,80,52,58
Biloxi-Gulfport MS,79,56,74,64,62,74,47,88,62,56,66,37,83,63,55
Juneau AK,76,0,70,49,66,61,0,70,55,55,70,0,97,58,59
Laredo TX,50,49,74,59,61,52,34,81,54,46,59,40,84,47,59
Denver CO,62,52,60,57,59,65,46,67,57,54,66,50,66,58,54
Colorado Springs-Pueblo CO,69,49,69,58,67,79,36,70,58,62,77,42,73,61,68
Phoenix AZ,67,56,72,63,59,76,50,80,63,55,70,50,78,64,59
Butte-Bozeman MT,74,53,66,59,64,85,61,69,55,59,66,61,69,62,70
Great Falls MT,61,42,65,57,79,89,43,74,62,66,92,40,80,60,53
"Billings, MT",74,58,70,63,67,71,50,83,58,58,65,36,81,65,71
Boise ID,68,60,70,56,67,72,50,73,56,60,68,54,81,58,58
Idaho Falls-Pocatello ID,73,88,90,54,80,71,68,88,54,76,65,71,95,57,74
